2024-03-10 23:41:27,352 [INFO] PID: 5402
2024-03-10 23:42:19,620 [INFO] tqdm.refresh(): dt: 41.91671299934387, n: 14217
2024-03-11 00:38:48,080 [INFO] tqdm.refresh(): dt: 49.23066997528076, n: 14300
2024-03-11 01:58:14,526 [INFO] tqdm.refresh(): dt: 52.100553035736084, n: 14400
2024-03-11 03:15:29,049 [INFO] tqdm.refresh(): dt: 50.122644901275635, n: 14500
2024-03-11 03:16:19,546 [INFO] STEP: 14500, args.logging_steps: 500
2024-03-11 04:33:24,204 [INFO] tqdm.refresh(): dt: 51.34233093261719, n: 14600
2024-03-11 05:51:45,710 [INFO] tqdm.refresh(): dt: 43.216652154922485, n: 14700
2024-03-11 06:34:25,319 [INFO] tqdm.refresh(): dt: 6.542482852935791, n: 2
2024-03-11 06:45:02,024 [INFO] tqdm.refresh(): dt: 6.510317087173462, n: 100
2024-03-11 06:55:51,151 [INFO] tqdm.refresh(): dt: 6.5324108600616455, n: 200
2024-03-11 07:06:46,539 [INFO] tqdm.refresh(): dt: 6.607003927230835, n: 300
2024-03-11 07:17:37,409 [INFO] tqdm.refresh(): dt: 6.270745754241943, n: 400
2024-03-11 07:28:33,752 [INFO] tqdm.refresh(): dt: 6.428133964538574, n: 500
2024-03-11 07:39:27,684 [INFO] tqdm.refresh(): dt: 6.3623130321502686, n: 600
2024-03-11 07:50:19,143 [INFO] tqdm.refresh(): dt: 6.240913152694702, n: 700
2024-03-11 08:01:07,967 [INFO] tqdm.refresh(): dt: 6.590994358062744, n: 800
2024-03-11 08:12:03,775 [INFO] tqdm.refresh(): dt: 6.570212125778198, n: 900
2024-03-11 08:22:57,997 [INFO] tqdm.refresh(): dt: 6.484280824661255, n: 1000
2024-03-11 08:33:51,353 [INFO] tqdm.refresh(): dt: 6.3364222049713135, n: 1100
2024-03-11 08:44:47,083 [INFO] tqdm.refresh(): dt: 7.149464130401611, n: 1200
2024-03-11 08:55:42,329 [INFO] tqdm.refresh(): dt: 6.626942157745361, n: 1300
2024-03-11 09:01:20,014 [INFO] tqdm.refresh(): dt: 0.10514497756958008, n: 13
2024-03-11 09:01:22,421 [INFO] tqdm.refresh(): dt: 0.10069990158081055, n: 300
2024-03-11 09:02:06,060 [INFO] tqdm.refresh(): dt: 0.10476922988891602, n: 7800
2024-03-11 09:02:13,143 [INFO] tqdm.refresh(): dt: 0.10562920570373535, n: 9100
2024-03-11 09:02:14,899 [INFO] tqdm.refresh(): dt: 0.10481834411621094, n: 9400
2024-03-11 09:02:18,508 [INFO] tqdm.refresh(): dt: 0.10094380378723145, n: 10100
2024-03-11 09:02:21,640 [INFO] tqdm.refresh(): dt: 0.1407179832458496, n: 10500
